[22:02:09] [INIT] KubeJS 2001.6.5-build.24; MC 2001 forge
[22:02:09] [INIT] Loaded plugins:
[22:02:09] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgePlugin
[22:02:09] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgeClientPlugin
[22:02:09] [INIT] - dev.latvian.mods.kubejs.integration.forge.gamestages.GameStagesIntegration
[22:02:09] [INIT] - com.lowdragmc.lowdraglib.kjs.LDLibKubeJSPlugin
[22:02:09] [INIT] - su.terrafirmagreg.core.compat.kjs.TFGKubeJSPlugin
[22:02:09] [INIT] - io.github.mortuusars.exposure.forge.integration.kubejs.ExposureKubeJSPlugin
[22:02:09] [INIT] - su.terrafirmagreg.core.compat.kjs.TFGKubeJSPlugin
[22:02:09] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbquests.kubejs.KubeJSIntegration
[22:02:09] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbchunks.kubejs.FTBChunksKubeJSPlugin
[22:02:09] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbteams.kubejs.FTBTeamsKubeJSPlugin
[22:02:09] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbfiltersystem.kubejs.FFSKubeJSPlugin
[22:02:09] [INIT] - concerrox.emixx.integration.kubejs.EmiPlusPlusKubeJSPlugin
[22:02:09] [INIT] - su.terrafirmagreg.core.compat.kjs.TFGKubeJSPlugin
[22:02:09] [INIT] - dev.aika.taczjs.forge.TaCZJSPlugin
[22:02:09] [INIT] - mod.chloeprime.aaaparticles.common.compat.kubejs.AAAParticleKubeJSPlugin
[22:02:09] [INIT] - com.rubenverg.moldraw.kubejs.MolDrawKJSPlugin
[22:02:09] [INIT] - dev.latvian.mods.kubejs.create.KubeJSCreatePlugin
[22:02:09] [INIT] - com.negodya1.kubejs.vintageimprovements.KubeJSVintagePlugin
[22:02:09] [INIT] - electrolyte.greate.compat.kubejs.KubeJSGreatePlugin
[22:02:09] [INIT] - com.almostreliable.lootjs.kube.LootJSPlugin
[22:02:09] [INIT] - com.blakebr0.cucumber.compat.kubejs.CucumberKubeJSPlugin
[22:02:09] [INIT] - com.tacz.guns.compat.kubejs.TimelessKubeJSPlugin
[22:02:09] [INIT] - dev.thomas.diggerhelmet.integration.kubejs.DiggerHelmetKubeJSPlugin
[22:02:09] [INIT] - com.gregtechceu.gtceu.integration.kjs.GregTechKubeJSPlugin
[22:02:09] [INIT] - com.gtceuterminal.integration.kjs.TerminalKubeJSPlugin
[22:02:09] [INIT] - com.notenoughmail.kubejs_tfc.KubeJSTFCPlugin
[22:02:09] [INIT] - com.notenoughmail.kubejs_tfc.addons.firmalife.FirmaLifePlugin
[22:02:09] [INIT] - com.notenoughmail.kubejs_tfc.addons.afc.AFCPlugin
[22:02:09] [INIT] - com.notenoughmail.kubejs_tfc.addons.tfccc.TFCCCPlugin
[22:02:13] [INIT] KubeJS TFC configuration:
[22:02:13] [INIT] - Debug mode enabled: false
[22:02:13] [INIT] - Self tests console insertion enabled: true
[22:02:13] [INIT] - Self tests warnings deduplicated: true
[22:02:13] [INFO] Loaded script startup_scripts:main_startup_script.js in 0.061 s
[22:02:13] [INFO] Loaded script startup_scripts:tfg/food/constants.food.js in 0.04 s
[22:02:13] [INFO] Loaded script startup_scripts:ad_astra/modifications.js in 0.001 s
[22:02:13] [INFO] Loaded script startup_scripts:ae2/materials.js in 0.001 s
[22:02:13] [INFO] Loaded script startup_scripts:ae2/tag_prefixes.js in 0.001 s
[22:02:13] [INFO] Loaded script startup_scripts:beneath/modifications.js in 0.0 s
[22:02:13] [INFO] Loaded script startup_scripts:civ_tfg/coins.js in 0.001 s
[22:02:13] [INFO] Loaded script startup_scripts:create/creative_tab.js in 0.0 s
[22:02:13] [INFO] Loaded script startup_scripts:create/materials.js in 0.001 s
[22:02:13] [INFO] Loaded script startup_scripts:create/modifications.js in 0.001 s
[22:02:13] [INFO] Loaded script startup_scripts:createdeco/constants.js in 0.0 s
[22:02:13] [INFO] Loaded script startup_scripts:firmaciv/modifications.js in 0.0 s
[22:02:13] [INFO] Loaded script startup_scripts:firmalife/modifications.js in 0.001 s
[22:02:13] [INFO] Loaded script startup_scripts:greate/materials.js in 0.001 s
[22:02:13] [INFO] Loaded script startup_scripts:greate/material_modification.js in 0.0 s
[22:02:13] [INFO] Loaded script startup_scripts:gtceu/machines.js in 0.007 s
[22:02:13] [INFO] Loaded script startup_scripts:gtceu/modifications.js in 0.003 s
[22:02:13] [INFO] Loaded script startup_scripts:gtceu/recipe_types.js in 0.001 s
[22:02:13] [INFO] Loaded script startup_scripts:gtceu/tag_prefixes.js in 0.001 s
[22:02:13] [INFO] Loaded script startup_scripts:macaws_for_tfc/creative_tab.js in 0.001 s
[22:02:13] [INFO] Loaded script startup_scripts:minecraft/modifications.js in 0.001 s
[22:02:13] [INFO] Loaded script startup_scripts:rnr/creative_tab.js in 0.0 s
[22:02:13] [INFO] s3_progression_mod/progression_listener.js#15: Loaded Java class 'dev.ftb.mods.ftbchunks.api.FTBChunksAPI'
[22:02:13] [INFO] s3_progression_mod/progression_listener.js#28: Loaded Java class 'com.civtfg.progression.stage.ProgressionTiers'
[22:02:13] [INFO] Loaded script startup_scripts:s3_progression_mod/progression_listener.js in 0.013 s
[22:02:13] [INFO] Loaded script startup_scripts:sacksnsuch/modifications.js in 0.001 s
[22:02:13] [INFO] Loaded script startup_scripts:species/modifications.js in 0.0 s
[22:02:13] [INFO] Loaded script startup_scripts:tfc/item_stack_modifiers.js in 0.001 s
[22:02:13] [INFO] Loaded script startup_scripts:tfctextile/creative_tab.js in 0.001 s
[22:02:13] [INFO] Loaded script startup_scripts:tfg/aquaponics/items.aquaponics.js in 0.0 s
[22:02:13] [INFO] Loaded script startup_scripts:tfg/aquaponics/materials.aquaponics.js in 0.001 s
[22:02:13] [INFO] Loaded script startup_scripts:tfg/beneath/blocks.beneath.js in 0.001 s
[22:02:13] [INFO] Loaded script startup_scripts:tfg/beneath/materials.beneath.js in 0.001 s
[22:02:13] [INFO] Loaded script startup_scripts:tfg/biotech/items.biotech.js in 0.0 s
