[22:01:18] [main/INFO]: ModLauncher running: args [--username, Joerning, --version, forge-47.4.13, --gameDir, C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1), --assetsDir, C:\Users\erikp\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, bf11e87f19d6424381cb0bcccc0eb393, --accessToken, ????????, --clientId, YzBhMTBjYTctMmIyYi00NjM4LWIyZTYtNzY1Yzg1N2NlZTNl, --xuid, 2535432586298493, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\erikp\curseforge\minecraft\Install\quickPlay\java\1788984075188.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.4.13, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[22:01:18] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.15 by Microsoft; OS Windows 11 arch amd64 version 10.0
[22:01:23] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[22:01:23] [main/INFO]: Trying GL version 4.6
[22:01:24] [main/INFO]: Requested GL version 4.6 got version 4.6
[22:01:24] [main/INFO]: Launching CrashAssistantApp (CrashAssistant-forge-1.19-1.20.1-1.11.12.jar)
[22:01:24] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce RTX 2050/PCIe/SSE2 GL version 4.6.0 NVIDIA 566.14, NVIDIA Corporation
[22:01:25] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/erikp/curseforge/minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[22:01:25] [CrashAssistantApp process logger/INFO]: CrashAssistantApp process successfully started.
[22:01:26] [main/INFO]: Found mod file [1.20.1 Forge] Additional Placements 3.0.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file aaa_particles-forge-1.20.1-2.2.3.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file ad_astra-forge-1.20.1-1.15.20.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file adaptive_performance_tweaks_core_1.20.1-11.6.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file adaptive_performance_tweaks_gamerules_1.20.1-11.6.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file adaptive_performance_tweaks_items_1.20.1-11.6.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file adaptive_performance_tweaks_player_1.20.1-11.6.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file AdvancedCoreInfo-forge-1.20.1-1.1.0.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file AdvancedLootInfo-forge-1.20.1-2.1.0.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file AdvancedPeripherals-1.20.1-0.7.48r.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file ae2insertexportcard-1.20.1-1.3.0.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file AE2NetworkAnalyzer-1.20-1.0.6-forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file ae2wtlib-15.3.3-forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file afc-1.0.23-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file ags_modernmarkings-0.4.5-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file AI-Improvements-1.20-0.5.2.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file alekiNiftyShips-FORGE-1.20.1-1.0.14.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file alltheleaks-1.1.3+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file almanac-1.20.x-forge-1.0.2.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file AmbientSounds_FORGE_v6.3.8_mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file applied_ammo_box-1.20.1-1.2.3.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file architectury-9.2.14-forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file ArmorQuickSwap-v8.0.0-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file arthropocolypse-1.0.6.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file astikorcarts-1.20.1-1.1.8.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file AttributeFix-Forge-1.20.1-21.0.5.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file baguettelib-1.20.1-Forge-2.0.5.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file balm-forge-1.20.1-7.3.42.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file barrels_2012-2.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file beneath-1.20.1-1.0.6.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file betterp2p-1.5.0-forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file BetterPingDisplay-1.20.1-1.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file BlockRunner-v8.0.4-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file blur-forge-3.1.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file Bookshelf-Forge-1.20.1-20.2.15.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
