Mods count: 289
 
                                jar name                                  |    notes     |                mod id                 |                        mod name                        |         mod version          |                                                                                                                                                                                                                                                                                                                               mixin configs                                                                                                                                                                                                                                                                                                                               |              modrinth hash               | curseforge hash
--------------------------------------------------------------------------+--------------+---------------------------------------+--------------------------------------------------------+------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------+----------------
fmlloader-1.20.1-47.4.13.jar (modloader)                                  |              | forge                                 | forge                                                  | fmlloader-1.20.1-47.4.13.jar |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
[1.20.1 Forge] Additional Placements 3.0.1.jar                            |              | additionalplacements                  | Additional Placements                                  | 3.0.1                        | mixins.additionalplacements.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 9f5d85cce1ba38a7a874254c5e2efd0a7e5e05ea | 2129944957     
aaa_particles-forge-1.20.1-2.2.3.jar                                      |              | aaa_particles                         | AAA Particles                                          | 2.2.3                        | aaa_particles-common.mixins.json, aaa_particles.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | cc77d1217cb53644240b8778a9e40b977f8a29cb | 774790224      
    /META-INF/jarjar/architectury-forge-9.2.14.jar                        |              | architectury                          | Architectury                                           | 9.2.14                       | architectury.mixins.json, architectury-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
ad_astra-forge-1.20.1-1.15.20.jar                                         |              | ad_astra                              | Ad Astra                                               | 1.15.20                      | adastra.mixins.json, adastra-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 537ac3e358a97efd7b03648a9bfd7b11f1ae7ff7 | 2713479490     
    /META-INF/jars/jlayer-1.0.1.jar                                       |              |                                       |                                                        |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
adaptive_performance_tweaks_core_1.20.1-11.6.1.jar                        |              | adaptive_performance_tweaks_core      | APTweaks: Core                                         | 11.6.1                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | bc3d9c05377074bb0766eba35feabb2b45dfed0c | 2003469399     
adaptive_performance_tweaks_gamerules_1.20.1-11.6.1.jar                   |              | adaptive_performance_tweaks_gamerules | APTweaks: Gamerules                                    | 11.6.1                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | da518957f38005acf1774d38013f5ca9f59e4805 | 2546336682     
adaptive_performance_tweaks_items_1.20.1-11.6.1.jar                       |              | adaptive_performance_tweaks_items     | APTweaks: Items                                        | 11.6.1                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 52b58d36ca830d684119a4ae0a2c16d310b62ba3 | 3911928306     
adaptive_performance_tweaks_player_1.20.1-11.6.1.jar                      |              | adaptive_performance_tweaks_player    | APTweaks: Player                                       | 11.6.1                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 632208b88322cb4985a45cf1448d5dce7b12a7cb | 2107440881     
AdvancedCoreInfo-forge-1.20.1-1.1.0.jar                                   |              | aci                                   | AdvancedCoreInfo                                       | 1.1.0                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 60678f23787cb57649f778892e81c20bf5d0b671 | 3168723157     
AdvancedLootInfo-forge-1.20.1-2.1.0.jar                                   |              | ali                                   | AdvancedLootInfo                                       | 2.1.0                        | ali.mixins.json, ali.lootjs.mixins.json, ali.forge.mixins.json, ali.emi.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | b8fdbd732b3d16c894fd35528668758a65f8211e | 3498863139     
AdvancedPeripherals-1.20.1-0.7.48r.jar                                    |              | advancedperipherals                   | Advanced Peripherals                                   | 0.7.48r                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | c715e6255f5dd74d5e174cd8d912773b0ac35cd6 | 327144819      
ae2insertexportcard-1.20.1-1.3.0.jar                                      |              | ae2insertexportcard                   | AE2 Insert Export Card                                 | 1.20.1-1.3.0                 | ae2insertexportcard.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | df8cbd8e49e001696a3d3e2c8352c3bb310e8c6f | 2505693449     
AE2NetworkAnalyzer-1.20-1.0.6-forge.jar                                   |              | ae2netanalyser                        | AE2NetworkAnalyzer                                     | 1.20-1.0.6-forge             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 7616ab6cf999f1844edc87433f60dfe45d829ce8 | 134614876      
ae2wtlib-15.3.3-forge.jar                                                 |              | ae2wtlib                              | AE2WTLib                                               | 15.3.3-forge                 | ae2wtlib.mixins.refmap.json, ae2wtlib.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 1a546af04844677542b6914191783c7de15364fc | 3724438651     
afc-1.0.23-1.20.1.jar                                                     |              | afc                                   | ArborFirmaCraft                                        | 1.0.23-1.20.1                | afc.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 62272e1f492b174d4f222dbd03bdb5078a3b5a2a | 1136788153     
